,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,B27002_001E,Total Race Population,B03001_003E,White,Black or African American,America Native,Asian,Native Pacific,Other,Two or More,Two or More Inclusive,Three or More,state,ZIP_CODE
0,ZCTA5 00601,14361.0,17113.0,41.9,7493.0,10552.0,17059.0,17113.0,17052.0,12616.0,182.0,32.0,2.0,0.0,4045.0,236.0,74.0,162.0,72,00601
1,ZCTA5 00602,16807.0,37751.0,42.9,9694.0,18653.0,37737.0,37751.0,34908.0,32179.0,908.0,46.0,0.0,0.0,1194.0,3424.0,85.0,3339.0,72,00602
2,ZCTA5 00603,16049.0,47081.0,42.1,11259.0,23691.0,45834.0,47081.0,45842.0,37359.0,1514.0,68.0,108.0,11.0,7342.0,679.0,240.0,439.0,72,00603
3,ZCTA5 00606,12119.0,6392.0,44.3,6093.0,4185.0,6392.0,6392.0,6338.0,2910.0,92.0,17.0,0.0,0.0,3299.0,74.0,53.0,21.0,72,00606
4,ZCTA5 00610,19898.0,26686.0,42.7,10572.0,12204.0,26599.0,26686.0,25368.0,22042.0,461.0,0.0,0.0,1.0,2095.0,2087.0,33.0,2054.0,72,00610
5,ZCTA5 00612,18741.0,59369.0,42.6,10966.0,27631.0,59149.0,59369.0,58847.0,46218.0,2870.0,199.0,583.0,0.0,8636.0,863.0,517.0,346.0,72,00612
6,ZCTA5 00616,17007.0,10022.0,44.6,9908.0,4825.0,9998.0,10022.0,9967.0,8144.0,709.0,9.0,40.0,0.0,1041.0,79.0,0.0,79.0,72,00616
7,ZCTA5 00617,16984.0,23750.0,40.7,9795.0,11392.0,23740.0,23750.0,23630.0,19359.0,860.0,0.0,144.0,0.0,3167.0,220.0,44.0,176.0,72,00617
8,ZCTA5 00622,14615.0,6741.0,52.0,11215.0,3255.0,6678.0,6741.0,6722.0,1535.0,19.0,0.0,0.0,0.0,5187.0,0.0,0.0,0.0,72,00622
9,ZCTA5 00623,17130.0,41746.0,42.6,9691.0,21413.0,41685.0,41746.0,41579.0,9485.0,766.0,116.0,46.0,0.0,30860.0,473.0,202.0,271.0,72,00623
10,ZCTA5 00624,16701.0,21936.0,38.9,9488.0,12337.0,21846.0,21936.0,21834.0,15647.0,835.0,0.0,47.0,0.0,5198.0,209.0,22.0,187.0,72,00624
11,ZCTA5 00627,17000.0,31598.0,42.2,10709.0,15741.0,31453.0,31598.0,31249.0,27201.0,561.0,0.0,0.0,0.0,3624.0,212.0,92.0,120.0,72,00627
12,ZCTA5 00631,10244.0,1499.0,48.9,7906.0,1054.0,1499.0,1499.0,1499.0,1038.0,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,72,00631
